team,elorating
Ukraine,1709
Malawi,1314
Uganda,1432
Senegal,1430
Burkina Faso,1388
Benin,1244
Niger,1334
Guam,664
Kenya,1472
Libya,1368
Namibia,1379
Palau,402
Botswana,1012
Burundi,1458
Chad,1244
Equatorial Guinea,1074
Lesotho,1136
Mali,1431
Sao Tome and Principe,1042
Swaziland,1168
Azerbaijan,1328
Algeria,1519
Mozambique,1325
Tanzania,1260
Thailand,1400
Angola,1479
Cape Verde,1236
Congo,1474
Gabon,1461
Liberia,1358
Lithuania,1482
Rwanda,1116
Armenia,1377
Poland,1764
Togo,1389
Austria,1730
Bosnia-Herzegovina,1560
Cyprus,1492
Czech Republic,1902
Hungary,1668
Iceland,1535
Norway,1831
Portugal,1905
Slovakia,1687
Sweden,1885
Estonia,1220
Mauritius,1129
Malta,1211
Morocco,1806
Romania,1903
Serbia,1311
Belarus,1413
Finland,1591
Georgia,1608
Germany,1977
Ireland,1740
Turkey,1663
Wales,1610
Bulgaria,1674
Faroe Islands,1213
Greece,1720
Macedonia,1566
Kuwait,1671
Saudi Arabia,1710
Syria,1465
Bahrain,1327
Egypt,1678
Qatar,1533
United Arab Emirates,1526
Solomon Islands,1324
Oman,1391
Brazil,2052
Spain,1979
Australia,1764
New Zealand,1539
Fiji,1429
Tahiti,1382
South Africa,1672
Cameroon,1563
Tunisia,1632
Zambia,1591
Andorra,1057
Denmark,1820
England,1945
Italy,2020
Latvia,1450
Liechtenstein,1078
Netherlands,1994
Northern Ireland,1578
Russia,1779
San Marino,947
Scotland,1712
Slovenia,1533
Croatia,1963
France,2077
Israel,1691
Luxembourg,1207
Moldova,1400
Switzerland,1668
Japan,1696
USA,1696
Sri Lanka,946
India,1099
El Salvador,1483
Guatemala,1571
Albania,1439
Hong Kong,1175
China,1706
Singapore,1321
British Virgin Islands,770
Ivory Coast,1617
Bermuda,1304
Eritrea,1212
Nigeria,1698
Zimbabwe,1461
Bolivia,1691
Congo DR,1512
Ghana,1553
Guinea,1455
Madagascar,1472
Costa Rica,1620
Vietnam,1218
Ethiopia,1291
Venezuela,1334
Belgium,1816
Colombia,1739
Jamaica,1675
Mexico,1864
Peru,1715
St. Lucia,1232
Ecuador,1750
Suriname,1283
Korea Republic,1691
Trinidad and Tobago,1476
St. Vincent and the Grenadines,1238
Paraguay,1804
Guernsey,600
Haiti,1401
Canada,1533
Chile,1756
St. Kitts and Nevis,1264
Argentina,1931
Jordan,1425
Malaysia,1203
Uruguay,1758
Uzbekistan,1545
Micronesia FS,600
Tajikistan,1439
Iraq,1598
Dominica,1171
Cayman Islands,1143
Panama,1327
Cambodia,998
Indonesia,1323
Honduras,1531
Bangladesh,968
Lebanon,1352
Gambia,1300
Virgin Islands,710
Philippines,715
Nepal,749
Yemen,1203
Dominican Republic,1126
Macau,1004
Turkmenistan,1435
Bhutan,617
Barbados,1298
Anguilla,506
Cuba,1435
Aruba,1072
Curacao,1192
Grenada,1288
Puerto Rico,1012
Bahamas,863
Belize,1075
Montserrat,616
Nicaragua,935
Maldives,790
Palestine,1228
Burma,1128
Kazakhstan,1479
Pakistan,883
Djibouti,887
Mauritania,1188
Guinea-Bissau,1193
Seychelles,981
Central African Republic,1220
Iran,1748
Laos,981
Sudan,1378
Antigua and Barbuda,1199
Sierra Leone,1433
Jersey,600
New Caledonia,1126
Vanuatu,1067
Guyana,1079
Zanzibar,1164
Kyrgyzstan,1237
Mongolia,892
Martinique,1403
Brunei,772
Samoa,676
American Samoa,484
Tonga,688
Cook Islands,662
Greenland,996
Monaco,800
Gibraltar,1056
St. Martin,1060
Papua New Guinea,1105
French Guyana,1140
Guadeloupe,1338
Korea DPR,1466
Mayotte,800
Afghanistan,871
Turks and Caicos Islands,700
Renuion,800
Northern Cyprus,1451
Kosovo,1390
Montenegro,1311
East Timor,500
Comoros,847
Northern Mariana Islands,682
Tuvalu,752
Somalia,1132
South Sudan,1311
Sint Maarten,943
Taiwan,1028
Tibet,685
Vatican,800
St. Barthélemy,500
